회차,ai_개념,target_grade,chunk_id,개념_정의_초안,a1_쿼리,status,is_ai_concept,소요시간,글자수
3,분류,4,4수03-10,주어진 대상을 공통된 특징이나 기준에 따라 몇 가지 범주로 나누는 것,여러 대상의 속성과 특징을 관찰하여 공통점과 차이점을 찾을 수 있다. 주어진 조건과 규칙에 따라 대상을 구별하여 분류할 수 있다.,success,True,4.22,72
3,패턴 인식,2,2수02-01,자료나 사물의 배열에서 일정하게 반복되거나 변화하는 규칙을 찾아내는 것,여러 물체나 모양을 관찰하고 비교하여 공통점을 찾을 수 있다. 그림이나 수의 배열에서 공통점을 찾아 알맞게 표현할 수 있다.,success,True,9.14,69
3,패턴 인식,4,4수02-01,자료나 사물의 배열에서 일정하게 반복되거나 변화하는 규칙을 찾아내는 것,"다양한 대상이나 자료를 비교하여 규칙을 찾아내고, 그 속에 나타나는 같은점과 다른점을 찾을 수 있다. 수나 모양의 배열에서 반복되는 규칙을 파악하여 공통으로 나타나는 같은점과 다른점을 찾아 설명할 수 있다.",success,True,6.66,115
3,예측,5,4수04-02,지금까지의 자료나 경향을 바탕으로 앞으로 일어날 일을 미리 짐작하는 것,"규칙과 흐름을 관찰하여 데이터 변화의 규칙성을 파악할 수 있다. 꺾은선그래프에서 변화 경향을 선으로 이어보고, 이를 바탕으로 앞으로 일어날 상황을 추론하여 예측할 수 있다.",success,True,4.8,96
3,특징 추출,3,2수03-06,여러 대상 중에서 구분에 도움이 되는 두드러진 성질을 뽑아내는 것,여러 대상을 자세히 관찰하고 공통 속성을 찾을 수 있다. 대상의 성질을 관찰하고 필요한 공통 속성을 찾아 설명할 수 있다.,success,True,5.32,68
3,데이터 수집,4,4수04-03,관찰이나 조사를 통해 필요한 자료를 모으는 것,알아보려는 문제를 해결하기 위해 필요한 정보를 정할 수 있다. 관찰이나 조사를 통해 필요한 정보를 정하고 이에 맞는 데이터를 수집할 수 있다.,success,True,9.27,79
3,데이터 정리,4,4수04-03,모은 자료를 표나 그래프 등으로 알아보기 쉽게 나타내는 것,수집한 자료나 표에서 누락되거나 빠진 값을 찾아 채울 수 있다. 조사한 데이터에서 비어 있는 곳이나 빠진 값을 찾아 바르게 채워 넣을 수 있다.,success,True,4.93,80
3,평균과 대표값,5,6수04-01,여러 자료를 대표하는 하나의 값을 구해 전체 경향을 파악하는 것,"자료의 값을 모두 모아 합치고, 나타낸 수로 똑같이 나누어 고르게 만들 수 있다. 여러 자료의 값을 모두 모아 합친 전체를 똑같이 나누어 고르게 만들어 자료를 대표하는 값을 구할 수 있다.",success,True,5.82,105
3,확률,6,6수04-05,어떤 일이 일어날 가능성을 수로 나타내는 것,전체 경우의 수와 원하는 사건의 경우의 수를 세어 가능성을 분수로 나타낼 수 있다.,success,True,4.31,46
3,데이터 시각화,4,4수04-01,자료를 그래프나 그림으로 표현하여 한눈에 파악할 수 있게 하는 것,조사한 데이터의 수량이나 변화를 효과적으로 나타내기 위해 상황에 맞는 그림이나 그래프 모양을 정할 수 있다. 나타내려는 목적을 이해하고 상황에 맞는 그림이나 그래프 모양을 정하여 알맞게 표현할 수 있다.,success,True,9.88,113
3,비교와 순서화,2,2수03-06,여러 대상의 크기나 양을 비교하여 순서를 정하는 것,"구체물이나 대상의 차이를 나타내기 위해 비교할 기준 속성을 정할 수 있다. 물체의 길이나 무게, 양 등을 측정하여 비교할 기준 속성을 정하고 순서대로 늘어놓을 수 있다.",success,True,6.56,94
3,반복과 규칙 적용,3,2수02-02,같은 규칙을 여러 번 반복하여 적용해 결과를 얻는 것,"주어진 상황이나 순서 속에서 반복되는 최소 단위 동작을 찾아낼 수 있다. 수나 모양, 움직임의 규칙을 관찰하고 반복되는 최소 단위 동작을 찾아 표현할 수 있다.",success,True,8.75,89
3,비교와 순서화,4,4수01-02,여러 대상의 크기나 양을 비교하여 순서를 정하는 것,"대상의 수량이나 크기, 대소 관계를 살펴보고 비교할 속성을 정할 수 있다. 사물이나 데이터의 특징을 바탕으로 비교할 속성을 정하여 대상의 차이를 비교하고 순서를 정할 수 있다.",success,True,6.43,98
3,의사결정트리,4,4수03-10,여러 조건에 따라 질문을 나눠가며 대상을 분류하거나 결정을 내리는 나무 모양의 구조,'예/아니오'로 답할 수 있는 질문을 만들어 조건에 따라 스무고개처럼 순서대로 해결하며 결과를 판단하거나 분류할 수 있다. 기준에 따른 순서도를 활용해 컴퓨터 알고리즘의 과정을 설명할 수 있다.,success,True,5.35,108
3,탐구형 데이터 분석(PPDAC),5,6수04-03,문제를 설정하고 필요한 자료를 수집·정리하여 그래프로 나타내고 해석함으로써 결론을 도출하는 탐구 절차,"궁금한 질문을 작성하고, 이를 해결하기 위해 알맞은 조사 방법을 정하여 데이터를 모으고 분석할 수 있다. 원인과 결과의 관계에 주목하여 막대그래프나 꺾은선그래프 등 나타난 자료의 특징을 탐구할 수 있다.",success,True,5.24,113
3,인공지능 사물 제작(피지컬 컴퓨팅),6,6실04-06,센서로 정보를 입력받아 인공지능으로 판단하고 로봇·사물이 반응하도록 코딩하여 동작시키는 것,"입력 센서와 출력 도구를 연결하고, 상황별 작동 조건을 정하며, 입력 데이터에 따른 반응을 연결할 수 있다.",success,True,8.11,60
3,분류(과학 도메인),3,4과02-01,주어진 대상을 공통된 특징이나 기준에 따라 몇 가지 범주로 나누는 것,관찰을 통해 여러 가지 생물이나 사물의 공통점과 차이점을 찾을 수 있다. 기준에 따라 대상의 공통점과 차이점을 찾고 알맞은 무리로 나눌 수 있다.,success,True,8.52,81
3,로봇의 작동 원리,5,6실04-05,로봇의 종류와 활용 사례를 통해 로봇이 어떻게 작동하는지 이해하는 것,"센서나 입력 장치를 통해 감각값을 알아차리고, 이에 따른 조건에 맞춰 판단하여 동작을 수행하는 알고리즘을 표현할 수 있다. 입력된 신호와 정보의 원인과 결과를 이해하여, 주어진 순서와 조건에 따라 로봇이 작동하는 과정을 설명할 수 있다.",success,True,4.75,132
3,분류 기준 설계,6,6수03-05,대상을 나눌 때 기준이 되는 특징을 스스로 정하는 것,"대상의 공통점과 차이점을 관찰하여 명확한 구별 조건을 정하고, 예외 없이 나뉘는지 검증할 수 있다.",success,True,8.09,55
3,의사결정트리,6,6수03-05,여러 조건에 따라 질문을 나눠가며 대상을 분류하거나 결정을 내리는 나무 모양의 구조,"예/아니오로 답할 수 있는 질문을 만들고, 질문 하나로 무리를 나눌 수 있다. 대상을 가장 잘 나누는 질문을 고르고 조건을 순서대로 연결하여 문제를 해결하는 알고리즘을 표현할 수 있다.",success,True,5.23,103
3,분수 기반 픽셀 표현,5,6수01-06,그림을 격자(픽셀) 단위로 나타낼 때 부분의 크기를 분수로 비교하는 것,"격자판에서 격자 칸 수를 세고, 전체에 대한 색칠된 부분을 분수로 나타낼 수 있다. 이를 바탕으로 인공지능이 화면의 명암과 색상을 숫자로 표현하는 원리를 이해할 수 있다.",success,True,4.83,95
3,분수 기반 픽셀 표현,5,6수01-07,그림을 격자(픽셀) 단위로 나타낼 때 부분의 크기를 분수로 비교하는 것,격자 칸 조각을 세고 칠해진 양을 분수로 나타낼 수 있다. 격자판의 전체와 부분 관계를 이해하고 칠해진 양을 분수로 표현할 수 있다.,success,True,4.53,74
3,그림그래프 기반 데이터 시각화,6,4수04-01,자료를 그림그래프로 나타내고 이를 실생활에 활용하는 것,상징 그림과 단위 크기를 정하고 수량을 그림 개수로 바꾸어 그림그래프로 나타낼 수 있다.,success,True,5.14,49
3,이미지의 시각적 특징 인식,5,"6미01-01,6미01-02,6미01-04,6미02-01,6미02-02,6미02-04,6미03-04",이미지의 색·형태 등 시각적 특징을 발견하고 표현에 활용하는 것,"이미지의 색상과 밝기를 비교하고, 선과 모양을 찾아내어 시각적 특징을 설명할 수 있다. 격자판 위치를 활용해 디지털 자료의 색상, 밝기, 선, 모양을 파악할 수 있다.",success,True,4.81,93
3,목적 기반 데이터 정리,6,6수04-03,자료를 수집·분류·정리하여 목적에 맞는 그래프로 나타내고 해석하는 것,"해결할 문제를 정하고, 이를 해결하는 데 필요한 속성을 골라내어 기준 따라 데이터를 모을 수 있다.",success,True,9.23,55
3,데이터의 시각화,4,4수04-03,"숫자나 텍스트로만 존재하는 데이터를 시각적 요소(막대, 선, 점, 색상 등)로 변환해 보여주는 과정.","조사한 자료를 표나 그래프로 나타내고, 수치를 비교하여 변수의 변화를 해석할 수 있다.",success,True,5.23,48
3,분류,3,4과02-01,데이터 집합을 공통된 특징이나 조건에 따라 여러 범주로 나누는 과정,여러 대상에서 속성과 특징을 살펴 공통점과 차이점을 찾을 수 있다. 정해진 기준이나 알맞은 기준을 세워 대상의 공통점과 차이점을 바탕으로 무리 지을 수 있다.,success,True,5.64,88
3,데이터의 시각화,6,4수04-01,"숫자나 텍스트로만 존재하는 데이터를 시각적 요소(막대, 선, 점, 색상 등)로 변환해 보여주는 과정.",데이터의 그림표 기호를 정하고 수를 길이로 바꾸어 나타낼 수 있다. 점을 연결하여 데이터의 흐름을 파악할 수 있다.,success,True,8.83,64
3,컴퓨터의 픽셀 이미지 인식방법,5,"6미01-01,6미01-02,6미01-04,6미02-01,6미02-02,6미02-04,6미03-04","컴퓨터가 이미지를 처리할 때, 이미지를 작은 격자 단위인 픽셀(pixel)로 나누어 각 픽셀의 색상 값(RGB 등)을 읽고 분석하는 방식","컴퓨터가 이미지를 인식하는 원리를 이해하여, 그림을 격자판으로 나누고 각 칸의 색깔을 숫자로 바꿀 수 있다.",success,True,10.5,60
3,데이터 정리,6,6수04-03,"원시(raw) 데이터에서 불필요하거나 오류가 있는 부분을 제거하고, 분석이나 시각화에 적합한 형태로 구조화하는 과정","수집한 데이터에서 비어 있거나 잘못된 곳을 찾아 수정하고, 같은 종류끼리 묶거나 정해진 규칙에 맞게 값을 바꿀 수 있다.",success,True,4.52,67
3,공통점과 차이점 구별하기,6,6과06-02,두 가지 이상의 대상이나 개념을 비교할 때 서로 같은 점(공통점)과 서로 다른 점(차이점)을 찾아내는 사고 과정,비교할 속성을 정하고 알맞은 속성값을 확인하여 같은 속성값끼리 묶을 수 있다.,success,True,6.2,43
3,인공지능 순서도 이해하기,6,6실05-01,인공지능이 문제를 해결하거나 작업을 수행할 때 따르는 처리 과정과 흐름을 도식화한 순서도를 보고 그 의미를 파악하는 것,"약속된 기호를 알아보고, 질문에 예 아니오로 답하며 화살표를 따라 순서대로 따라갈 수 있다. 알고리즘을 표현하기 위해 약속된 기호를 이해하고 조건에 따른 질문에 답하며 화살표 순서대로 절차를 따라갈 수 있다.",success,True,5.85,116
3,대표값,5,6수04-01,자료 전체를 대표할 수 있는 하나의 값,"실생활에서 알아보고 싶은 수치 자료를 모으고, 모은 수치 자료를 크기순으로 나열할 수 있다. 수치 자료를 모아 크기순으로 나열하여 전체 자료를 대표하는 값을 구하고 해석할 수 있다.",success,True,5.92,101
3,평균값,6,6수04-01,여러 수를 다 더해서 개수로 나눈 값,자료의 전체 수량을 모두 모아 똑같이 나누어 전체를 대표하는 값을 찾을 수 있다. 구해진 대표하는 값을 통해 자료의 전반적인 특징을 파악하고 비교할 수 있다.,success,True,4.93,88
3,"숫자, 글자, 소리, 이미지 데이터",6,6실05-04,컴퓨터가 다루는 다양한 형태의 자료들로 컴퓨터 안에서는 모두 0과 1(디지털 신호)로 저장됨,"숫자, 글자, 소리, 이미지 등 다양한 정보 형태를 구분하고, 모눈종이에 색칠하여 그림을 나타내거나 정보를 규칙에 따라 숫자로 바꿔 나타낼 수 있다.",success,True,4.88,83
3,의사코드,6,6실05-01,프로그램이 어떻게 동작할지 사람이 이해하기 쉬운 말로 순서대로 적어놓은 것.,"문제를 해결하는 과정을 순서대로 나열하고, 조건에 따라 갈라지거나 같은 행동을 반복 표시하여 알고리즘을 표현할 수 있다.",success,True,6.24,67
3,자연어,6,6실05-01,사람이 일상적으로 쓰는 말,"글이나 문장에서 낱말을 나누고 뜻이 같은 낱말을 묶을 수 있으며, 문장 속 역할을 찾아낼 수 있다. 맥락과 상황을 고려하여 문장의 구조를 이해하고 낱말의 의미를 파악할 수 있다.",success,True,6.15,99
3,디지털과 아날로그,6,6실05-04,디지털은 정보를 0과 1처럼 끊어진 숫자 신호로 표현하는 방식이고 아날로그는 정보를 시간에 따라 연속적으로 변하는 신호로 표현하는 방식,"아날로그와 디지털의 특징을 이해하기 위해 연속적인 변화를 관찰할 수 있다. 연속적인 변화를 일정한 간격으로 나누고, 가장 가까운 정수로 값을 끊어 셀 수 있다.",success,True,6.36,89
3,데이터의 유형,6,6실05-04,"자료의 성격에 따른 분류. 수치로 된 데이터(수치형), 범주로 나뉘는 데이터(범주형), 글·소리·영상 같은 비정형 데이터 등으로 나눌 수 있음","데이터의 형태를 구분하여 글자 데이터와 숫자 데이터로 나눌 수 있으며, 연산 가능 여부를 판단할 수 있다.",success,True,7.83,59
3,기계학습과 딥러닝,6,6실05-05,"기계학습의 한 종류로, 사람의 뇌 신경망을 본뜬 인공신경망을 여러 층 쌓아서 더 복잡한 패턴을 학습하는 방법",자료나 데이터에서 특징을 모아보고 이를 바탕으로 규칙을 정할 수 있다. 정해진 규칙에 따른 결과와 실제 값을 비교하여 틀린 양을 계산할 수 있다.,success,True,8.54,81
3,언플러그드 활동,6,6실05-01,"컴퓨터나 전기 장치 없이도 놀이·게임·카드·몸동작 등으로 컴퓨터 과학의 원리(알고리즘, 코딩 개념 등)를 배우는 활동",컴퓨터 없이 카드나 교구를 순서대로 놓고 규칙에 따라 몸을 움직이거나 신호나 기호를 바꾸며 문제 해결 단계를 표현할 수 있다.,success,True,5.15,70
3,강화학습,6,6실05-05,"컴퓨터(에이전트)가 행동을 해보고 그 결과로 보상이나 벌을 받으면서, 더 나은 행동을 스스로 찾아가도록 학습하는 방법","시행착오를 거치며 결과에 따라 점수를 주고, 상황별 행동을 기록할 수 있다. 이를 바탕으로 더 높은 점수를 얻는 행동을 선택할 수 있다.",success,True,9.57,76
